iter	Passed	Remaining
0	58	57982
1	58	29079
2	58	19441
3	58	14618
4	58	11723
5	59	9798
6	59	8420
7	59	7385
8	59	6580
9	59	5936
10	60	5421
11	60	4982
12	60	4610
13	60	4293
14	61	4016
15	61	3773
16	61	3560
17	61	3370
18	61	3199
19	62	3047
20	62	2908
21	62	2782
22	62	2666
23	62	2561
24	63	2464
25	63	2375
26	63	2292
27	63	2215
28	64	2143
29	64	2077
30	64	2014
31	64	1955
32	64	1900
33	65	1847
34	65	1798
35	65	1752
36	65	1708
37	65	1667
38	66	1627
39	66	1590
40	66	1555
41	66	1521
42	66	1489
43	67	1458
44	67	1429
45	67	1400
46	67	1373
47	67	1347
48	68	1322
49	68	1298
50	68	1274
51	68	1252
52	68	1230
53	69	1211
54	69	1191
55	69	1172
56	69	1153
57	69	1135
58	70	1118
59	70	1101
60	70	1085
61	70	1070
62	70	1054
63	71	1040
64	71	1026
65	71	1012
66	71	998
67	71	986
68	72	973
69	72	960
70	72	948
71	72	937
72	72	926
73	73	915
74	73	904
75	73	893
76	73	883
77	73	873
78	74	863
79	74	854
80	74	844
81	74	835
82	74	825
83	74	816
84	75	808
85	75	800
86	75	792
87	75	784
88	75	777
89	76	770
90	76	762
91	76	755
92	76	748
93	76	741
94	77	734
95	77	728
96	77	721
97	77	715
98	77	709
99	78	703
100	78	697
101	78	691
102	78	685
103	78	679
104	79	674
105	79	668
106	79	663
107	79	658
108	79	652
109	80	647
110	80	642
111	80	637
112	80	632
113	80	628
114	81	623
115	81	619
116	81	614
117	81	610
118	81	605
119	81	601
120	82	596
121	82	592
122	82	588
123	82	584
124	82	580
125	83	576
126	83	572
127	83	568
128	83	564
129	83	561
130	84	557
131	85	559
132	85	555
133	85	552
134	85	548
135	85	545
136	86	542
137	86	538
138	86	535
139	86	532
140	86	528
141	86	525
142	87	522
143	87	519
144	87	516
145	87	513
146	87	510
147	88	507
148	88	504
149	88	501
150	88	498
151	88	495
152	89	493
153	89	490
154	89	487
155	89	484
156	89	482
157	90	479
158	90	477
159	90	474
160	90	471
161	90	469
162	90	466
163	91	464
164	91	462
165	91	459
166	91	457
167	91	455
168	92	453
169	92	451
170	92	448
171	92	446
172	93	444
173	93	442
174	93	440
175	93	438
176	93	436
177	93	434
178	94	432
179	94	429
180	94	427
181	94	425
182	94	424
183	95	422
184	95	420
185	95	418
186	95	416
187	95	414
188	96	412
189	96	410
190	96	409
191	96	407
192	97	405
193	97	403
194	97	402
195	97	400
196	97	398
197	97	396
198	98	395
199	98	393
200	98	391
201	98	389
202	98	388
203	99	386
204	99	385
205	99	383
206	99	382
207	99	380
208	100	379
209	100	377
210	100	375
211	100	374
212	100	372
213	101	371
214	101	369
215	101	368
216	101	366
217	101	365
218	102	364
219	102	362
220	102	361
221	102	359
222	102	358
223	103	357
224	103	355
225	103	354
226	103	352
227	103	351
228	104	350
229	104	348
230	104	347
231	104	346
232	104	344
233	104	343
234	105	342
235	105	341
236	105	339
237	105	338
238	105	337
239	106	336
240	106	334
241	106	333
242	106	332
243	106	331
244	107	330
245	107	329
246	107	328
247	107	327
248	108	325
249	108	324
250	108	323
251	108	322
252	108	321
253	109	320
254	109	319
255	109	318
256	109	316
257	109	315
258	110	314
259	110	313
260	110	312
261	110	311
262	110	310
263	111	309
264	111	308
265	111	307
266	111	306
